1;Пересортица;Недостача пересортица
2;Недостача;Недостача (хищение, злоупотребление материально ответственных лиц, ошибки учета, естественная убыль,...)
3;Уценка;Уценка (списание) в результате порчи
4;Порча;Списание объема продукции, не подлежащей дальнейшей реализации (бой, срок годности, порча)
5;Потери;Потери при транспортировке
6;Проверки;Списание объема продукции, израсходованной на лабораторные нужды для прохождения добровольной проверки качества, рекламные образцы
7;Арест;Списание арестованной продукции, изъятой из оборота продукции, конфискованной продукции по решению суда
8;Реализация;Розничная реализация продукции, не подлежащей фиксации в ЕГАИС
9;Иные цели;Списание продукции, когда ФСМ/АМ не возможно считать
10;Производственные потери;Списание продукции при производственных потерях
11;Реклама;Списание в рекламных целях
