Despatch;InterBranch;bpRAR_CustNote_Insert_Despatch;WayBill
Despatch;InterCompany;bpRAR_CustNote_Insert_Despatch;WayBill
Despatch;Internal;bpRAR_CustNote_Insert_ProdReturn;ActWriteOff
Despatch;Product;bpRAR_CustNote_Insert_Despatch;WayBill
Despatch;ProductCurrency;bpRAR_CustNote_Insert_Despatch;WayBill
Despatch;Retail;bpRAR_CustNote_Insert_Despatch;WayBill
MovingNote;CodeExchange;bpRAR_CustNote_Insert_ProdReceipt;RepProducedProduct
ProdReceipt;Product;bpRAR_CustNote_Insert_ProdReceipt;RepProducedProduct
ProdReceipt;ProductFGD;bpRAR_CustNote_Insert_ProdReceipt;RepProducedProduct
ProdReceipt;ProductFGN;bpRAR_CustNote_Insert_ProdReceipt;RepProducedProduct
ProdReturn;Consume;bpRAR_CustNote_Insert_ProdReturn;ActWriteOff
ProdReturn;Waste;bpRAR_CustNote_Insert_ProdReturn;ActWriteOff
VendReturn;InterCompany;bpRAR_CustNote_Insert_Despatch;WayBill
