1;xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance"
2;xmlns:ns= "http://fsrar.ru/WEGAIS/WB_DOC_SINGLE_01"
3;xmlns:wa= "http://fsrar.ru/WEGAIS/ActTTNSingle_v3"
4;xmlns:ce="http://fsrar.ru/WEGAIS/CommonV3"
5;xmlns:oref="http://fsrar.ru/WEGAIS/ClientRef_v2"
6;xmlns:pref="http://fsrar.ru/WEGAIS/ProductRef_v2"
7;xmlns:wb="http://fsrar.ru/WEGAIS/TTNSingle_v3"
8;xmlns:wb="http://fsrar.ru/WEGAIS/TTNSingle_v4"
9;xmlns:rpp="http://fsrar.ru/WEGAIS/RepProducedProduct_v3"
10;xmlns:rpp="http://fsrar.ru/WEGAIS/RepProducedProduct_v4"
11;xmlns:awr="http://fsrar.ru/WEGAIS/ActWriteOff_v3"
12;xmlns:qrrp="http://fsrar.ru/WEGAIS/QueryRejectRepProduced"
13;xmlns:qp="http://fsrar.ru/WEGAIS/QueryParameters"
14;xmlns:qp="http://fsrar.ru/WEGAIS/RequestRepealAWO"
15;xmlns:iab="http://fsrar.ru/WEGAIS/ActInventoryF1F2Info"
16;xmlns:ainp="http://fsrar.ru/WEGAIS/ActChargeOn_v2"
17;xmlns:ce="http://fsrar.ru/WEGAIS/CommonEnum"
18;xmlns:awr="http://fsrar.ru/WEGAIS/ActUnFixBarCode"
19;xmlns:qp="http://fsrar.ru/WEGAIS/RequestRepealACO"
20;xmlns:rf="http://fsrar.ru/WEGAIS/RequestAddFProducer"
21;xmlns:qf="http://fsrar.ru/WEGAIS/QueryFormAB"
22;xmlns:wt= "http://fsrar.ru/WEGAIS/ConfirmRepealWB"
23;xmlns:qp="http://fsrar.ru/WEGAIS/RequestRepealWB"
24;xmlns:wt="http://fsrar.ru/WEGAIS/ConfirmTicket"
25;xmlns:wbr="http://fsrar.ru/WEGAIS/TTNInformF2Reg"
26;xmlns:wbr="http://fsrar.ru/WEGAIS/RepInformF1Reg"
27;xmlns:rs="http://fsrar.ru/WEGAIS/ReplySpirit_v2"
28;xmlns:rap="http://fsrar.ru/WEGAIS/ReplyAP_v2"
29;xmlns:rap="http://fsrar.ru/WEGAIS/ReplySSP_v2"
30;xmlns:wa= "http://fsrar.ru/WEGAIS/ActTTNSingle_v3
31;xmlns:asiut="http://fsrar.ru/WEGAIS/AsiiuTime"
32;xmlns:qf2="http://fsrar.ru/WEGAIS/QueryFormF1F2"
33;xmlns:wa2="http://fsrar.ru/WEGAIS/ActTTNSingle_v2"
34;xmlns:wa3="http://fsrar.ru/WEGAIS/ActTTNSingle_v3"
35;xmlns:wbr2="http://fsrar.ru/WEGAIS/TTNInformF2Reg"
36;xmlns:tc="http://fsrar.ru/WEGAIS/Ticket"
39;xmlns:ns="http://fsrar.ru/WEGAIS/WB_DOC_SINGLE_01"
41;xmlns:mskr="http://fsrar.ru/WEGAIS/Route"
42;xmlns:crt="http://fsrar.ru/WEGAIS/CancelRoute"
43;xmlns:awr="http://fsrar.ru/WEGAIS/ActFixBarCode"
44;xmlns:aint="http://fsrar.ru/WEGAIS/ActInventoryInformF2Reg"
