ActChargeOn_v2;1
ActFixBarCode;1
ActUnFixBarCode;1
ActWriteOff_v3;1
CancelRoute;1
INVENTORYREGINFO;1
QueryRejectRepProduced;1
RepProducedProduct_v3;1
RepProducedProduct_v4;1
Route;1
Ticket;1
WayBill_v3;1
WayBill_v4;1
WayBillAct_3;1
WayBillAct_v3;1
ActChargeOn_v2;2
ActFixBarCode;2
ActUnFixBarCode;2
ActWriteOff_v3;2
CancelRoute;2
QueryRejectRepProduced;2
Route;2
Ticket;2
WayBillAct_3;2
WayBillAct_v3;2
WayBillAct_3;3
WayBillAct_v3;3
ActFixBarCode;4
ActUnFixBarCode;4
ActWriteOff_v3;4
RepProducedProduct_v3;4
RepProducedProduct_v4;4
WayBill_v3;4
WayBill_v4;4
WayBillAct_3;4
WayBillAct_v3;4
ActChargeOn_v2;5
RepProducedProduct_v3;5
RepProducedProduct_v4;5
Ticket;5
WayBill_v3;5
WayBill_v4;5
ActChargeOn_v2;6
ActFixBarCode;6
ActUnFixBarCode;6
ActWriteOff_v3;6
INVENTORYREGINFO;6
RepProducedProduct_v3;6
RepProducedProduct_v4;6
WayBill_v3;6
WayBill_v4;6
WayBill_v3;7
WayBill_v4;8
RepProducedProduct_v3;9
RepProducedProduct_v4;10
ActWriteOff_v3;11
QueryRejectRepProduced;12
ActChargeOn_v2;15
ActChargeOn_v2;16
ActChargeOn_v2;17
ActUnFixBarCode;18
Ticket;36
INVENTORYREGINFO;39
RepProducedProduct_v3;39
RepProducedProduct_v4;39
WayBill_v3;39
WayBill_v4;39
WayBill_v3;40
WayBill_v4;40
Route;41
CancelRoute;42
ActFixBarCode;43
INVENTORYREGINFO;44
